company_name,location
百试达（上海）医药科技股份有限公司,上海市杨浦区民京路853号1幢4247室
上海中卉生态科技股份有限公司,上海市杨浦区中山北二路1121号2楼201C室
上海晨骏网络科技有限公司,上海市杨浦区黄兴路2005弄2号(B楼)503-17室
上海同是科技股份有限公司,上海市杨浦区黄兴路2005弄2号(B楼)710-9室
上海凡拓数码科技有限公司,上海市杨浦区国霞路259号608室
上海流利说信息技术有限公司,上海市杨浦区长阳路1687号西1168幢(C楼)一层C2101室
上海元沣网络科技有限公司,上海市杨浦区翔殷路165号A区四楼417-4室
上海博士高环保科技有限公司,上海市杨浦区逸仙路25号1703J3室
上海中海龙智城科技股份有限公司,上海市杨浦区翔殷路128号11号楼D座207-02室
上海道客网络科技有限公司,上海市杨浦区江湾城路99号6幢7楼
上海云孵信息科技有限公司,上海市杨浦区国权北路1688弄68号201022室
上海迈外迪网络科技有限公司,上海市杨浦区控江路1142号23幢5051室
上海优必杰教育科技有限公司,上海市杨浦区国霞路258号6层602室
上海好医通健康信息咨询有限公司,上海市杨浦区军工路1436号64幢二层B座249室
上海华碧检测技术有限公司,上海市杨浦区国权北路1688弄75号104室
上海芯与网络科技有限公司,上海市杨浦区长阳路1687号西1160幢(1号楼)1201室
上海速石信息科技有限公司,上海市杨浦区国通路118号1801单元
上海天络行品牌管理股份有限公司,上海市杨浦区国宾路18号1501A-4室
上海妙克信息科技有限公司,上海市杨浦区杭州路741号9幢144室
上海合志信息技术有限公司,上海市杨浦区隆昌路619号8号楼北区C12室
美茵健康科技（上海）股份有限公司,上海市杨浦区国定路335号2号楼1912室
上海嘉因生物科技有限公司,上海市杨浦区国康路86号100幢403B室
上海万帝环境技术有限公司,上海市杨浦区杨树浦路2310号S718室
上海程析智能科技有限公司,上海市杨浦区隆昌路588_1号26楼2603-28室
中交疏浚技术装备国家工程研究中心有限公司,上海市杨浦区许昌路1296号2楼203室
上海梯之星信息科技有限公司,上海市杨浦区四平路1779号5层505室
上海复旦通讯股份有限公司,上海市国泰路127弄1号楼3楼1301-1320室
上海快卜新能源科技有限公司,上海市杨浦区铁岭路38号1层(集中登记地)
上海均瑶科创信息技术有限公司,上海市杨浦区锦创路26号1702室
上海宝存信息科技有限公司,上海市杨浦区荆州路168号名义9楼(实际8楼)
上海复通软件技术有限公司,上海市杨浦区国定路346号三楼0719室
上海明诺环境科技有限公司,上海市杨浦区赤峰路65号同济科技园2号楼204B室
闯奇信息科技（上海）有限公司,上海市杨浦区逸仙路25号303Q室
上海赛特斯信息科技股份有限公司,上海市杨浦区国泰路127弄1号楼底层101-10室
上海润益互联网科技有限公司,上海市杨浦区黄兴路2005弄2号(B楼)1204室
上海贝耳塔信息技术有限公司,上海市杨浦区内江路191号111幢104室
云瓣科技有限公司,上海市杨浦区国定路323号1001-100室
上海黑犇互联网科技有限公司,上海市杨浦区国权北路1688弄36号303F室
上海人鼎人教育科技有限公司,上海市杨浦区军工路1436号64幢一层J137室
自连电子科技（上海）有限公司,上海市杨浦区国定路346号三楼0213室
上海新纳通信技术有限公司,上海市杨浦区国定路323号1101-10室
上海展湾信息科技有限公司,上海市杨浦区黄兴路217号A座14层A1401、A1403号
上海创魅芯技网络科技有限公司,上海市杨浦区国定支路26号2476室
上海域乎信息技术有限公司,上海市杨浦区国定路323号3层(集中登记地)
上海宜智文化传播发展有限公司,上海市杨浦区国定路323号1101-146室
上海诚望科技集团股份有限公司,上海市杨浦区国霞路259号210室
上海传漾数字科技有限公司,上海市杨浦区黄兴路2005弄2号1316室
上海鑫合益智能科技发展有限公司,上海市杨浦区长阳路1687号东1248幢(5号楼)2177室
上海天夏景观规划设计有限公司,上海市杨浦区国权北路1688弄12号301-1室
上海同毅自动化技术有限公司,上海市杨浦区逸仙路13号25幢1705F1室
上海炘璞电子科技有限公司,上海市杨浦区国泰路127弄复旦科技园1号楼3楼1323室
上海精鲲计算机科技有限公司,上海市杨浦区国权北路1688弄75号10楼1001室
上海天健体育科技发展有限公司,上海市杨浦区恒仁路350号1幢110-72室
上海泽稷教育培训有限公司,上海市杨浦区邯郸路10号1号楼315室
上海辉明软件有限公司,上海市杨浦区武东路198号902-5室
上海复亚智能科技有限公司,上海市杨浦区国泰路127弄1号三层(集中登记地)
上海荟乐奇教育科技有限公司,上海市杨浦区邯郸路10号3号楼311室
上海复享光学股份有限公司,上海市杨浦区国定东路200号4号楼412-1室
上海同大规划建筑设计有限公司,上海市杨浦区四平路1188号1201室
上海嘉广聚智能科技有限公司,上海市杨浦区政通路100弄11号(集中登记地)
上海阳霖文化传媒发展有限公司,上海市杨浦区翔殷路165号B区二楼206-1室
上海即科智能技术集团有限公司,上海市杨浦区江湾城路99号8幢10层(名义楼层)
上海诚扬信息科技有限公司,上海市杨浦区国定路335号2307室
乐擎网络科技（上海）有限公司,上海市杨浦区宁武路269号1号楼210室
