应急掩蔽场所(福阳小区东北),公共设施;紧急避难场所;紧急避难场所,关山路与国权东路交叉口东南200米,121.523783,31.288848
应急掩蔽场所(海上硕和城南),公共设施;紧急避难场所;紧急避难场所,安波路985弄附近,121.527767,31.299218
应急掩蔽场所(控江路1455弄小区东南),公共设施;紧急避难场所;紧急避难场所,凤城路与周家嘴路交叉口西北200米,121.524648,31.274558
应急掩蔽场所(抚顺路250弄小区东北),公共设施;紧急避难场所;紧急避难场所,彰武路96附近,121.513205,31.281477
应急避难场所,公共设施;紧急避难场所;紧急避难场所,[],121.501577,31.284133
应急掩蔽场所(建中大楼西北),公共设施;紧急避难场所;紧急避难场所,赤峰路南100米,121.501994,31.278891
应急掩蔽场所(五角场800号东楼西),公共设施;紧急避难场所;紧急避难场所,国顺东路900弄-25-26,121.522189,31.293623
应急掩蔽场所(上海新光医院西北),公共设施;紧急避难场所;紧急避难场所,沙岗路东150米,121.537798,31.299508
应急掩蔽场所(仁德路152弄小区南),公共设施;紧急避难场所;紧急避难场所,逸仙路801号,121.486573,31.302926
应急掩蔽场所(东部集团兰港大楼东南),公共设施;紧急避难场所;紧急避难场所,中环路出口与逸仙路交叉口东北50米,121.489482,31.295314
应急掩蔽场所(鼎琅臻品宾馆东南),公共设施;紧急避难场所;紧急避难场所,控江路757附近,121.523014,31.274801
应急掩蔽场所(杨浦区政协东南),公共设施;紧急避难场所;紧急避难场所,控江路1505弄55号,121.523318,31.274092
应急避难场所(江浦路),公共设施;紧急避难场所;紧急避难场所,江浦路1322号,121.519794,31.271846
应急掩蔽场所(中山北二路),公共设施;紧急避难场所;紧急避难场所,中山北二路1129附近,121.503557,31.286775
应急掩蔽场所(政通路),公共设施;紧急避难场所;紧急避难场所,政通路218号,121.513262,31.303009
应急避难场所(同济·晶度东南),公共设施;紧急避难场所;紧急避难场所,五角场,121.490757,31.294264
应急避难场所(平凉路),公共设施;紧急避难场所;紧急避难场所,宁武路与平凉路交叉口南150米,121.543891,31.267937
应急掩蔽场所(国浩路),公共设施;紧急避难场所;紧急避难场所,国浩路181号附近,121.517507,31.335376
应急掩蔽场所(国康路),公共设施;紧急避难场所;紧急避难场所,中山北二路1143号附近,121.502420,31.286941
应急掩蔽场所(四平路),公共设施;紧急避难场所;紧急避难场所,四平路2500号,121.515407,31.298763
应急掩蔽场所(国通路),公共设施;紧急避难场所;紧急避难场所,政立路435附近,121.509195,31.308856
紧急避难场所(铭辞楼西北),公共设施;紧急避难场所;紧急避难场所,隆昌路588-3号附近,121.543808,31.276693
应急掩蔽场所(霍山路),公共设施;紧急避难场所;紧急避难场所,荆州路与霍山路交叉口西100米,121.515065,31.257614
应急掩蔽场所(锦年路),公共设施;紧急避难场所;紧急避难场所,大学路与锦年路交叉口东南50米,121.509228,31.303624
紧急避难场所(国权路),公共设施;紧急避难场所;紧急避难场所,国权路579号附近,121.502646,31.294915
应急掩蔽场所(上海共清护理医院东南),公共设施;紧急避难场所;紧急避难场所,国科路4附近,121.520122,31.287293
应急掩蔽场所(馨怡花园西南),公共设施;紧急避难场所;紧急避难场所,铁岭路32号附近,121.514674,31.278385
应急掩蔽场所(引翔港小区西北),公共设施;紧急避难场所;紧急避难场所,长阳路1969弄-7-1,121.539827,31.272244
应急掩蔽场所(彰武路),公共设施;紧急避难场所;紧急避难场所,彰武路50号,121.508157,31.281108
应急掩蔽场所(富天苑东南),公共设施;紧急避难场所;紧急避难场所,周家嘴路3118号,121.532830,31.274858
紧急避难场所(许昌路),公共设施;紧急避难场所;紧急避难场所,许昌路与长阳路交叉口南50米,121.519910,31.262468
应急掩蔽场所(大运盛城南),公共设施;紧急避难场所;紧急避难场所,中山北二路101-1号附近,121.519406,31.285108
应急掩蔽场所(馨怡花园东南),公共设施;紧急避难场所;紧急避难场所,铁岭路与锦西路交叉口东150米,121.515468,31.278016
应急掩蔽场所(锦兰苑东北),公共设施;紧急避难场所;紧急避难场所,安波路800弄,121.527019,31.302019
应急掩蔽场所(市光二村西),公共设施;紧急避难场所;紧急避难场所,国和路105附近,121.539803,31.317745
应急掩蔽场所(新中源大楼南),公共设施;紧急避难场所;紧急避难场所,双阳路与长阳路交叉口南150米,121.538886,31.270253
应急掩蔽场所(湘海大厦东南),公共设施;紧急避难场所;紧急避难场所,逸仙路67附近,121.488046,31.299243
应急掩蔽场所(政化路),公共设施;紧急避难场所;紧急避难场所,政化路1号附近,121.509767,31.290529
应急掩蔽场所,公共设施;紧急避难场所;紧急避难场所,吉浦路与学府街交叉口东150米,121.492156,31.302309
应急掩蔽场所(企航商务西),公共设施;紧急避难场所;紧急避难场所,营口路与安波路交叉口西南约280米,121.530774,31.300629
应急掩蔽场所(杭州路),公共设施;紧急避难场所;紧急避难场所,杭州路895号,121.546263,31.268026
应急避难场所,公共设施;紧急避难场所;紧急避难场所,四平路1293号附近,121.503493,31.285834
应急掩蔽场所(同一路),公共设施;紧急避难场所;紧急避难场所,彰武路1号北门2号,121.507638,31.282838
应急掩蔽场所(荆州路),公共设施;紧急避难场所;紧急避难场所,昆明路518号,121.513422,31.260154
应急避难场所(三门路),公共设施;紧急避难场所;紧急避难场所,国和路490号,121.518578,31.311194
应急避难场所(城市方园东),公共设施;紧急避难场所;紧急避难场所,[],121.536977,31.333711
应急掩蔽场所(宁国路),公共设施;紧急避难场所;紧急避难场所,宁国路25号,121.539437,31.259946
紧急避难场所(国泰路),公共设施;紧急避难场所;紧急避难场所,四平路与国泰路交叉口西150米,121.508043,31.287547
紧急避难场所(国康路),公共设施;紧急避难场所;紧急避难场所,中山北二路1111号附近,121.505093,31.286249
